IP,Port,Degree
127.0.0.1,6541,0
127.0.0.1,6732,0
127.0.0.1,6941,0
127.0.0.1,6739,0
127.0.0.1,6846,0
127.0.0.1,6567,0
127.0.0.1,6346,0
127.0.0.1,6712,0
127.0.0.1,6616,0
127.0.0.1,6695,0
127.0.0.1,6757,0
127.0.0.1,6778,0
127.0.0.1,6851,0
127.0.0.1,6479,0
127.0.0.1,6662,0
127.0.0.1,6638,0
127.0.0.1,6270,0
127.0.0.1,6326,0
127.0.0.1,6366,0
127.0.0.1,6611,0
127.0.0.1,6550,0
127.0.0.1,6705,0
127.0.0.1,6686,0
127.0.0.1,6633,0
127.0.0.1,6810,0
127.0.0.1,6459,0
127.0.0.1,6637,0
127.0.0.1,6451,0
127.0.0.1,6253,0
127.0.0.1,6861,0
127.0.0.1,6736,0
127.0.0.1,6783,0
127.0.0.1,6509,0
127.0.0.1,6845,0
127.0.0.1,6718,0
127.0.0.1,6915,0
127.0.0.1,6636,0
127.0.0.1,6837,0
127.0.0.1,6773,0
127.0.0.1,6627,0
127.0.0.1,6470,0
127.0.0.1,6899,0
127.0.0.1,6476,0
127.0.0.1,6735,0
127.0.0.1,6717,0
127.0.0.1,6600,0
127.0.0.1,6267,0
127.0.0.1,6293,0
127.0.0.1,6304,0
127.0.0.1,6259,0
127.0.0.1,6376,0
127.0.0.1,6425,0
127.0.0.1,6504,0
127.0.0.1,6464,0
127.0.0.1,6286,0
127.0.0.1,6545,0
127.0.0.1,6605,0
127.0.0.1,6446,0
127.0.0.1,6328,0
127.0.0.1,6663,0
127.0.0.1,6782,0
127.0.0.1,6741,0
127.0.0.1,6450,0
127.0.0.1,6748,0
127.0.0.1,6668,0
127.0.0.1,6597,0
127.0.0.1,6850,0
127.0.0.1,6905,0
127.0.0.1,6762,0
127.0.0.1,6797,0
127.0.0.1,6727,0
127.0.0.1,6745,0
127.0.0.1,6285,0
127.0.0.1,6302,0
127.0.0.1,6281,0
127.0.0.1,6475,0
127.0.0.1,6322,0
127.0.0.1,6299,0
127.0.0.1,6462,0
127.0.0.1,6613,0
127.0.0.1,6354,0
127.0.0.1,6477,0
127.0.0.1,6258,0
127.0.0.1,6634,0
127.0.0.1,6587,0
127.0.0.1,6255,0
127.0.0.1,6689,0
127.0.0.1,6666,0
127.0.0.1,6588,0
127.0.0.1,6754,0
127.0.0.1,6298,0
127.0.0.1,6661,0
127.0.0.1,6720,0
127.0.0.1,6678,0
127.0.0.1,6348,0
127.0.0.1,6432,0
127.0.0.1,6687,0
127.0.0.1,6403,0
127.0.0.1,6882,0
127.0.0.1,6683,0
127.0.0.1,6796,0
127.0.0.1,6657,0
127.0.0.1,6646,0
127.0.0.1,6897,0
127.0.0.1,6926,0
127.0.0.1,6900,0
127.0.0.1,6857,0
127.0.0.1,6954,0
127.0.0.1,6963,0
127.0.0.1,6414,0
127.0.0.1,6562,0
127.0.0.1,6684,0
127.0.0.1,6314,0
127.0.0.1,6278,0
127.0.0.1,6939,0
127.0.0.1,6413,0
127.0.0.1,6690,0
127.0.0.1,6874,0
127.0.0.1,6556,0
127.0.0.1,6254,0
127.0.0.1,6284,0
127.0.0.1,6353,0
127.0.0.1,6341,0
127.0.0.1,6490,0
127.0.0.1,6171,2
127.0.0.1,6184,1
127.0.0.1,6191,2
127.0.0.1,6165,3
127.0.0.1,6192,3
127.0.0.1,6185,2
127.0.0.1,6198,4
127.0.0.1,6195,1
127.0.0.1,6193,0
127.0.0.1,6176,5
127.0.0.1,6170,7
127.0.0.1,6190,0
127.0.0.1,6178,0
127.0.0.1,6172,4
127.0.0.1,6174,3
127.0.0.1,6197,6
127.0.0.1,6182,0
127.0.0.1,6183,2
127.0.0.1,6199,2
127.0.0.1,6196,2
127.0.0.1,6173,3
127.0.0.1,6181,3
127.0.0.1,6169,4
127.0.0.1,6180,2
127.0.0.1,6189,2
127.0.0.1,6177,1
127.0.0.1,6187,4
127.0.0.1,6186,2
127.0.0.1,6188,5
127.0.0.1,6194,3
127.0.0.1,6167,5
127.0.0.1,6154,0
127.0.0.1,6163,0
127.0.0.1,6147,0
127.0.0.1,6152,0
127.0.0.1,6155,0
127.0.0.1,6164,0
127.0.0.1,6168,0
127.0.0.1,6136,0
127.0.0.1,6149,0
127.0.0.1,6161,0
127.0.0.1,6146,0
127.0.0.1,6140,0
127.0.0.1,6158,0
127.0.0.1,6010,12
127.0.0.1,6058,4
127.0.0.1,6078,1
127.0.0.1,6106,0
127.0.0.1,6139,0
127.0.0.1,6143,0
127.0.0.1,6148,0
127.0.0.1,6137,1
127.0.0.1,6179,0
127.0.0.1,6145,0
127.0.0.1,6001,13
127.0.0.1,6002,52
127.0.0.1,6003,23
127.0.0.1,6021,8
127.0.0.1,6023,8
127.0.0.1,6022,2
127.0.0.1,6027,0
127.0.0.1,6032,8
127.0.0.1,6055,1
127.0.0.1,6069,0
127.0.0.1,6066,0
127.0.0.1,6071,0
127.0.0.1,6085,0
127.0.0.1,6082,0
127.0.0.1,6072,1
127.0.0.1,6125,0
127.0.0.1,6104,0
127.0.0.1,6101,1
127.0.0.1,6142,0
127.0.0.1,6093,0
127.0.0.1,6122,0
127.0.0.1,6004,14
127.0.0.1,6007,30
127.0.0.1,6013,7
127.0.0.1,6014,4
127.0.0.1,6015,8
127.0.0.1,6016,8
127.0.0.1,6020,7
127.0.0.1,6030,3
127.0.0.1,6033,1
127.0.0.1,6041,4
127.0.0.1,6035,0
127.0.0.1,6038,6
127.0.0.1,6045,5
127.0.0.1,6048,1
127.0.0.1,6054,4
127.0.0.1,6056,0
127.0.0.1,6050,3
